source_format,input_field,unified_field,mapping_rule,unit_conversion,null_strategy,evidence,verified
OpenSky,target_id,track_id,直接映射,六位小写十六进制，保留前导0,无,opensky_field_dictionary.csv,True
OpenSky,latest_time,timestamp,直接映射,Unix秒，必须为正整数,空→null,source_field_definitions.md,True
OpenSky,time_source,quality.time_source,直接映射,position_time / last_contact_fallback,无,source_field_definitions.md,True
OpenSky,callsign,identity.callsign,直接映射,无,空→null,opensky_field_dictionary.csv,True
OpenSky,lat,position.lat,直接映射,度,空→null,opensky_field_dictionary.csv,True
OpenSky,lon,position.lon,直接映射,度,空→null,opensky_field_dictionary.csv,True
OpenSky,altitude,position.alt,直接映射,米,空→null,opensky_field_dictionary.csv,True
OpenSky,alt_type,position.alt_type,直接映射,barometric / geometric / unknown,空→unknown,source_field_definitions.md,True
OpenSky,speed,motion.speed,直接映射,米/秒,空→null,opensky_field_dictionary.csv,True
OpenSky,heading,motion.heading,直接映射,度,空→null,opensky_field_dictionary.csv,True
OpenSky,vertical_rate,motion.vertical_rate,直接映射,米/秒,空→null,opensky_field_dictionary.csv,True
OpenSky,on_ground,status.on_ground,直接映射,布尔,无,opensky_field_dictionary.csv,True
OpenSky,lat/lon,quality.position_valid,lat与lon均非空且合法,布尔,无,source_field_definitions.md,True
OpenSky,latest_time,quality.time_valid,latest_time为正整数,布尔,无,source_field_definitions.md,True
OpenSky,源记录结构,quality.message_valid,源记录结构校验结果,布尔,无,source_field_definitions.md,True
TeachingLink,target_id,track_id,直接映射,六位小写十六进制，保留前导0,无,partner_field_dictionary.csv,True
TeachingLink,timestamp,timestamp,直接映射,Unix秒，必须为正整数,空→null,source_field_definitions.md,True
TeachingLink,status_flags.bit2,quality.time_source,bit2=1为last_contact_fallback，否则position_time,无,无,source_field_definitions.md,True
TeachingLink,callsign+validity_flags.bit6,identity.callsign,bit6=1时去除补0；无效时null,无,无效→null,source_field_definitions.md,True
TeachingLink,latitude_code+validity_flags.bit0,position.lat,有效时code/(2^22-1)×180-90,度,无效→null,teaching_message_spec.md,True
TeachingLink,longitude_code+validity_flags.bit1,position.lon,有效时code/(2^22-1)×360-180,度,无效→null,teaching_message_spec.md,True
TeachingLink,altitude_code+validity_flags.bit2,position.alt,有效时code-1000,米,无效→null,teaching_message_spec.md,True
TeachingLink,status_flags.bit1,position.alt_type,高度有效时0=barometric、1=geometric；无效时unknown,无,无效→unknown,source_field_definitions.md,True
TeachingLink,speed_code+validity_flags.bit3,motion.speed,有效时code×0.1,米/秒,无效→null,teaching_message_spec.md,True
TeachingLink,heading_code+validity_flags.bit4,motion.heading,有效时code×0.01且小于360,度,无效→null,teaching_message_spec.md,True
TeachingLink,vertical_rate_code+validity_flags.bit5,motion.vertical_rate,有效时code×0.01-327.68,米/秒,无效→null,teaching_message_spec.md,True
TeachingLink,status_flags.bit0,status.on_ground,bit0转布尔,布尔,无,source_field_definitions.md,True
TeachingLink,纬经有效位+解码范围,quality.position_valid,纬度与经度均有效且解码值在合法范围,布尔,无,source_field_definitions.md,True
TeachingLink,timestamp及帧接收,quality.time_valid,timestamp为正整数,布尔,无,source_field_definitions.md,True
TeachingLink,完整帧接收判据,quality.message_valid,完整帧接收判据,布尔,无,source_field_definitions.md,True
